"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","test_login_time[problem_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:19 UTC 2025","passed","Sun Apr 20 03:58:19 UTC 2025","","test_login_performance","",""
"","61","test_responsive_layout[error_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:06 UTC 2025","passed","Sun Apr 20 03:59:06 UTC 2025","","test_products_page_ui","",""
"","31","test_ui_elements[standard_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:40 UTC 2025","passed","Sun Apr 20 03:58:40 UTC 2025","","test_products_page_ui","",""
"","126","test_remove_backpack[visual_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:50 UTC 2025","passed","Sun Apr 20 03:57:50 UTC 2025","","test_add_item","",""
"","20","test_text_style[visual_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:16 UTC 2025","passed","Sun Apr 20 03:59:16 UTC 2025","","test_products_page_ui","",""
"","21","test_text_style[error_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:15 UTC 2025","passed","Sun Apr 20 03:59:15 UTC 2025","","test_products_page_ui","",""
"","24","test_text_style[problem_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:08 UTC 2025","passed","Sun Apr 20 03:59:08 UTC 2025","","test_products_page_ui","",""
"","269","test_login_time[standard_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:18 UTC 2025","passed","Sun Apr 20 03:58:18 UTC 2025","","test_login_performance","",""
"","21","test_text_style[standard_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:08 UTC 2025","passed","Sun Apr 20 03:59:08 UTC 2025","","test_products_page_ui","",""
"","5915","test_logout_time[performance_glitch_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:30 UTC 2025","passed","Sun Apr 20 03:58:36 UTC 2025","","test_login_performance","",""
"","57","test_images[error_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:56 UTC 2025","passed","Sun Apr 20 03:58:57 UTC 2025","","test_products_page_ui","",""
